address,balance
0x5584e380c5ba129ccb5c1ce89c2e9d66881f4800,142565.7077536967
0x5b7575494b1e28974efe6ea71ec569b34958f72e,106053.2719061831
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,79309.83250491704
0xdf290293c4a4d6ebe38fd7085d7721041f927e0a,69337.51323315765
0xf41deff41016216346270e302dc0a5dd4913dada,57797.94568253054
0xaa01dec5307cf17f20881a3286dcaa062578cea7,54749.612694857584
0x5acbeb30fde4049a8fc928f562d9ce5fdad59d32,52247.66552079205
0x7221b104fba7701084759fd25faca19ac6300855,51337.0
0xb5f50e42ad28fb4bfc25b6b4c5a34aad30649fc0,48267.18341409025
0xcb59b745668aa7f6d6da1c92641d6d60d8f5c4be,28041.46204999843
0x778549eb292ac98a96a05e122967f22efa003707,26120.54049265345
0xc131afe6dbd5a71f16d8b292f0b4ae1aa200da3f,25752.05241031044
0x40dc654af5ce40c122ffdc679fa8e8ca8b91556a,24500.0
0x8289432acd5eb0214b1c2526a5edb480aa06a9ab,24418.772480539432
0x955327d8f7589725fdc23af8cd27bff7f6f3ed0b,24143.767
0xe5ac570506ff6289146cc43626d6af540aa67241,23368.86429378815
0xcf52f1402e73418bc5e6accbd246ee8dfb055605,23024.831808530944
0x852b8763ecb27beddc190d1792029bc17fd5439a,20779.286972497583
0xb2821c0df0c414ff51d3e8033cba26df6aac587b,18994.20099246302
0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,18754.45015113749
0x7d547666209755fb833f9b37eebea38ebf513abb,16713.513679278036
0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,15567.86647574337
0x8a8fd287f9c0d69c8d749b32e10a1e0a96dedcf3,15080.92246111307
0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,14519.192479507545
0x7944fc7bd79b25e6ffe24921d88a1f36f22be843,12723.238120499807
0x27c72e4bd23c910218d8f06c4a1742e06657c874,12018.30276063058
0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c,11405.864659628469
0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,11250.0
0x9aa6db877742ad8d8c7fe209f561fbd2be19d5f4,10556.31340241248
0x0faad92032b0984642a29bc9dcafc35d70474bc7,10462.795797870484
0xa3eac0016f6581ac34768c0d4b99ddcd88071c3c,10069.0
0xf0cdfa126a944849a6e9982253cd5259afae0355,10000.0
0x1dba1131000664b884a1ba238464159892252d3a,10000.0
0xcf0fa79c915f12592c352ffe35000fda5c96a158,9170.30976850929
0x38dfd788db4cfab7b9da57b06cfc06c6e0f33c3b,8571.717791291134
0x94860ea6872d863e91f3ce3f8cf574ef0859620b,8245.08131688724
0x75d923fbbc9d224ad4a92c370dcc60043010648f,7978.885161
0x62e4851e88bec4f5c5ee3dd347f2c601a18af1af,7756.186193022491
0x978aad63fe35f7a72573c411c3dff53608aaeac9,7719.076660376418
0xf0a3b6daac28a0fce094f2cf264e040373d86f3f,7704.09448926055
0xaee23b2c38732a191aa5ce33d2db5efcf51868ae,7521.403826732297
0xfda4271cdfe69f8f8df7f39b2248e775166ff632,7216.01
0x85ed40dbca94b5bc73c6c7ec7f4ecaad04a03a22,7079.586749257821
0xc6b0a4c5ba85d082ecd4fb05fbf63eb92ac1083a,6934.967373145798
0xc8d65e1bd67f16522e3117b980e1c9d2caeb9dc3,6587.136363242981
0x99272db5353e13c18b711d99d3a8f36ba459f747,6560.161506544184
0xdf00e071996de3336899bbd5722592b3d972e788,6548.36727393465
0x4f8c531df3d97c6cd437ac8dfe756975445d1161,6468.8146107
0xd91ec22114897e5e68997f77a6182de3cb09ba9b,6301.451629091784
0x1df428833f2c9fb1ef098754e5d710432450d706,6209.424833983653
0xf5dcd98a1c99c2c65c62025cb23cfb6f12f35497,6202.855302892844
0x0d1331af19df0110826aaec6f6ef7debf85bf107,6120.871031008744
0x8110d1d04ac316fdcace8f24fd60c86b810ab15a,6044.839099999999
0x8aac40061e258d6e45fd13e214710abdf356285a,5887.207529958248
0x3c63b262c54f45ba1ca8e127f14a2b93fdc826ca,5885.484458838296
0x29567bdbcc92acf37ac6b56b69180857bb69f7d1,5668.5810870000005
0xec952ed8e7c2aa466cac36fd611d2e87df1243d7,5642.68028704082
0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,5500.0
0x34aa3f359a9d614239015126635ce7732c18fdf3,5449.999999999999
0xb2d60143097b4f992bfbe955a22dbb2acd9a8eab,5283.368339220287
0x5041a1c1dcc760337e99b03db60feaf5f6f6c802,5196.811482
0x2fee53687906ba239602ed42cceee2ac8a4ada36,5185.763970766906
0x1d8a08c8c3ce0a852cb4da902754991759f7f625,5118.60331675711
0xb760fe1bbc4a2752abcbb28291a57cb0ca99ff44,5000.361346989183
0x1026effae689c49f3655e74dc45c8869e3f6fd35,5000.0
0x7f93e58a999d85879c2f051619f6879ba771f2bf,5000.0
0x1baec9d58603f6eaeddbd66acc56db76215fc8d6,4999.0
0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,4664.644181328803
0x224aba5d489675a7bd3ce07786fada466b46fa0f,4311.05336733558
0x536c7e8f18d09d04697e0d2624b44bba575388c2,4215.253070060066
0x763d7d362b59aea3858a92a302e18cd41b1252d4,4213.528181770695
0xc89ed88b54fd663b86ffd76f6ad2cda09d2ce13c,4100.320954081929
0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,3896.444459085975
