address,balance,account,badges
0x0a412418c71c80a882ca276acdd85e8be791857d,3,"{'address': '0x0a412418c71c80a882ca276acdd85e8be791857d', 'names': {'ens': ''}}","[{'id': 'badges:23836863532899300985270549799528622840869619951968201956354178596965619672964', 'address': '0x0a412418c71c80a882ca276acdd85e8be791857d', 'specUrn': 'ipfs://bafyreibypfci2nkeiodzi3q7znd4p3ola6qn5qkibsykeyvc523kliogki/metadata.json', 'image': 'ipfs://bafybeibuxta425io3bo66yeljqk4r2ueoh7uj7lqf35dgn5pplkwifbbci/image', 'name': 'TE FUNDAMENTALS – MODULE 3 of 5 – VERSION 1 – 2022'}, {'id': 'badges:27750817116733360701512650049196995017775508223787475159824871796407425141744', 'address': '0x0a412418c71c80a882ca276acdd85e8be791857d', 'specUrn': 'ipfs://bafyreih6m5sat35yoq3ezk6pppxhpdkm3dafk7dr4nmzptnxoaz4tqkcnu/metadata.json', 'image': 'ipfs://bafybeieiee22ja7zmof7gcfwg3i7dywfkist37bpkpka4ysrzgamhzqmba/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 1 – 2022'}, {'id': 'badges:28586590623299311623723763697465989337256348652963325600884381417489411232880', 'address': '0x0a412418c71c80a882ca276acdd85e8be791857d', 'specUrn': 'ipfs://bafyreieayklfii7mei3hj5hf5qcwo7cwhcwx23lkfylnqt4ec5eweban7e/metadata.json', 'image': 'ipfs://bafybeiflhcosze4yg4i6rqiocf3t3z2wniblixiorqhou4x5g5rhy2pjuu/image', 'name': 'TE FUNDAMENTALS – MODULE 2 of 5 – VERSION 1 – 2022'}]"
0x0a448773a22fcf14d2c1ae8351b244c4b2f1cff5,1,"{'address': '0x0a448773a22fcf14d2c1ae8351b244c4b2f1cff5', 'names': {'ens': ''}}","[{'id': 'badges:90192364914809031852365134081160916489966073177621506838808602840055923474821', 'address': '0x0a448773a22fcf14d2c1ae8351b244c4b2f1cff5', 'specUrn': 'ipfs://bafyreih6m5sat35yoq3ezk6pppxhpdkm3dafk7dr4nmzptnxoaz4tqkcnu/metadata.json', 'image': 'ipfs://bafybeieiee22ja7zmof7gcfwg3i7dywfkist37bpkpka4ysrzgamhzqmba/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 1 – 2022'}]"
0x0afbea5597875c33047ab0004575f636e652c49e,2,"{'address': '0x0afbea5597875c33047ab0004575f636e652c49e', 'names': {'ens': ''}}","[{'id': 'badges:108059853199139670269382300376480001360862606529502883314731224091001359032813', 'address': '0x0afbea5597875c33047ab0004575f636e652c49e', 'specUrn': 'ipfs://bafyreieayklfii7mei3hj5hf5qcwo7cwhcwx23lkfylnqt4ec5eweban7e/metadata.json', 'image': 'ipfs://bafybeiflhcosze4yg4i6rqiocf3t3z2wniblixiorqhou4x5g5rhy2pjuu/image', 'name': 'TE FUNDAMENTALS – MODULE 2 of 5 – VERSION 1 – 2022'}, {'id': 'badges:45031583944886219340943278924387724175073723211860022791678194805795716111610', 'address': '0x0afbea5597875c33047ab0004575f636e652c49e', 'specUrn': 'ipfs://bafyreibypfci2nkeiodzi3q7znd4p3ola6qn5qkibsykeyvc523kliogki/metadata.json', 'image': 'ipfs://bafybeibuxta425io3bo66yeljqk4r2ueoh7uj7lqf35dgn5pplkwifbbci/image', 'name': 'TE FUNDAMENTALS – MODULE 3 of 5 – VERSION 1 – 2022'}]"
0x0b04f285b418ac07f12b7f60064d91d88f52c681,1,"{'address': '0x0b04f285b418ac07f12b7f60064d91d88f52c681', 'names': {'ens': ''}}","[{'id': 'badges:43236209399240794815729810488533084086070495496368525464916712692452040093302', 'address': '0x0b04f285b418ac07f12b7f60064d91d88f52c681', 'specUrn': 'ipfs://bafyreiarf2pfqwfbb6gjimlbzd5loxvdygjai5hs3e3hi2aqrd5kiiu3ja/metadata.json', 'image': 'ipfs://bafybeiarvbvjnwfl4vhbx27wq5muk6w5fagdfodtcryumyxqbj6xuxyh5e/image', 'name': 'TE FUNDAMENTALS – MODULE 5 of 5 – VERSION 1 – 2022'}]"
0x0b96b6344b2a8d00b610992d0e6afb90c24bcfa3,5,"{'address': '0x0b96b6344b2a8d00b610992d0e6afb90c24bcfa3', 'names': {'ens': ''}}","[{'id': 'badges:104844316851282578203994145170986744284052059317862006421232476023051237779808', 'address': '0x0b96b6344b2a8d00b610992d0e6afb90c24bcfa3', 'specUrn': 'ipfs://bafyreieayklfii7mei3hj5hf5qcwo7cwhcwx23lkfylnqt4ec5eweban7e/metadata.json', 'image': 'ipfs://bafybeiflhcosze4yg4i6rqiocf3t3z2wniblixiorqhou4x5g5rhy2pjuu/image', 'name': 'TE FUNDAMENTALS – MODULE 2 of 5 – VERSION 1 – 2022'}, {'id': 'badges:22528419732160992673453437889277646200494417953114843672030359466683386263458', 'address': '0x0b96b6344b2a8d00b610992d0e6afb90c24bcfa3', 'specUrn': 'ipfs://bafyreifdy5xhctluuqkaucb4n223wxa2e7z2gyt642l2ndkjyxdyauebpq/metadata.json', 'image': 'ipfs://bafybeig4ln4ddlk6d4tgn6k734nhmnwc3zxsb37bfejd27m4bp3o4ytmgi/image', 'name': 'TE FUNDAMENTALS – MODULE 4 of 5 – VERSION 1 – 2022 '}, {'id': 'badges:59121643244287420708449593629169483640869103423768997949799473536926556458019', 'address': '0x0b96b6344b2a8d00b610992d0e6afb90c24bcfa3', 'specUrn': 'ipfs://bafyreih6m5sat35yoq3ezk6pppxhpdkm3dafk7dr4nmzptnxoaz4tqkcnu/metadata.json', 'image': 'ipfs://bafybeieiee22ja7zmof7gcfwg3i7dywfkist37bpkpka4ysrzgamhzqmba/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 1 – 2022'}]"
0x0cb0f554a2e8a5b7b5634f37840b037214925815,5,"{'address': '0x0cb0f554a2e8a5b7b5634f37840b037214925815', 'names': {'ens': ''}}","[{'id': 'badges:15710821812655979363276719211830528672728009059370684038374210516216115668327', 'address': '0x0cb0f554a2e8a5b7b5634f37840b037214925815', 'specUrn': 'ipfs://bafyreifdy5xhctluuqkaucb4n223wxa2e7z2gyt642l2ndkjyxdyauebpq/metadata.json', 'image': 'ipfs://bafybeig4ln4ddlk6d4tgn6k734nhmnwc3zxsb37bfejd27m4bp3o4ytmgi/image', 'name': 'TE FUNDAMENTALS – MODULE 4 of 5 – VERSION 1 – 2022 '}, {'id': 'badges:25508744728222319124587476920511631820677284615732408729497978976395177581503', 'address': '0x0cb0f554a2e8a5b7b5634f37840b037214925815', 'specUrn': 'ipfs://bafyreieayklfii7mei3hj5hf5qcwo7cwhcwx23lkfylnqt4ec5eweban7e/metadata.json', 'image': 'ipfs://bafybeiflhcosze4yg4i6rqiocf3t3z2wniblixiorqhou4x5g5rhy2pjuu/image', 'name': 'TE FUNDAMENTALS – MODULE 2 of 5 – VERSION 1 – 2022'}, {'id': 'badges:62856793333371484514372345886375455951262079605609481460198841044331217340930', 'address': '0x0cb0f554a2e8a5b7b5634f37840b037214925815', 'specUrn': 'ipfs://bafyreibypfci2nkeiodzi3q7znd4p3ola6qn5qkibsykeyvc523kliogki/metadata.json', 'image': 'ipfs://bafybeibuxta425io3bo66yeljqk4r2ueoh7uj7lqf35dgn5pplkwifbbci/image', 'name': 'TE FUNDAMENTALS – MODULE 3 of 5 – VERSION 1 – 2022'}]"
0x0cd131d695c0dd47648e70ede3bb13bcadea6f40,1,"{'address': '0x0cd131d695c0dd47648e70ede3bb13bcadea6f40', 'names': {'ens': ''}}","[{'id': 'badges:62298159124965984066506208472771277916163999394415093311032945983942367758198', 'address': '0x0cd131d695c0dd47648e70ede3bb13bcadea6f40', 'specUrn': 'ipfs://bafyreih6m5sat35yoq3ezk6pppxhpdkm3dafk7dr4nmzptnxoaz4tqkcnu/metadata.json', 'image': 'ipfs://bafybeieiee22ja7zmof7gcfwg3i7dywfkist37bpkpka4ysrzgamhzqmba/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 1 – 2022'}]"
0x0ce681173619e2599713ccc1c18779d6109671f1,5,"{'address': '0x0ce681173619e2599713ccc1c18779d6109671f1', 'names': {'ens': ''}}","[{'id': 'badges:51166631706565097812266542776204003315011676422489375484968796733415568263121', 'address': '0x0ce681173619e2599713ccc1c18779d6109671f1', 'specUrn': 'ipfs://bafyreih6m5sat35yoq3ezk6pppxhpdkm3dafk7dr4nmzptnxoaz4tqkcnu/metadata.json', 'image': 'ipfs://bafybeieiee22ja7zmof7gcfwg3i7dywfkist37bpkpka4ysrzgamhzqmba/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 1 – 2022'}, {'id': 'badges:60094168063672860443298730513666396327806898132663588869946215355511195275657', 'address': '0x0ce681173619e2599713ccc1c18779d6109671f1', 'specUrn': 'ipfs://bafyreibypfci2nkeiodzi3q7znd4p3ola6qn5qkibsykeyvc523kliogki/metadata.json', 'image': 'ipfs://bafybeibuxta425io3bo66yeljqk4r2ueoh7uj7lqf35dgn5pplkwifbbci/image', 'name': 'TE FUNDAMENTALS – MODULE 3 of 5 – VERSION 1 – 2022'}, {'id': 'badges:72849335607424068381393033305014587225992578410133635128593863930631419036184', 'address': '0x0ce681173619e2599713ccc1c18779d6109671f1', 'specUrn': 'ipfs://bafyreiarf2pfqwfbb6gjimlbzd5loxvdygjai5hs3e3hi2aqrd5kiiu3ja/metadata.json', 'image': 'ipfs://bafybeiarvbvjnwfl4vhbx27wq5muk6w5fagdfodtcryumyxqbj6xuxyh5e/image', 'name': 'TE FUNDAMENTALS – MODULE 5 of 5 – VERSION 1 – 2022'}]"
0x0db3c73e0fd8a19f086cfd303fda498f1b0221e3,5,"{'address': '0x0db3c73e0fd8a19f086cfd303fda498f1b0221e3', 'names': {'ens': ''}}","[{'id': 'badges:108839469196235219864307993319905512147745187325759592234516152850091639398971', 'address': '0x0db3c73e0fd8a19f086cfd303fda498f1b0221e3', 'specUrn': 'ipfs://bafyreifdy5xhctluuqkaucb4n223wxa2e7z2gyt642l2ndkjyxdyauebpq/metadata.json', 'image': 'ipfs://bafybeig4ln4ddlk6d4tgn6k734nhmnwc3zxsb37bfejd27m4bp3o4ytmgi/image', 'name': 'TE FUNDAMENTALS – MODULE 4 of 5 – VERSION 1 – 2022 '}, {'id': 'badges:37150174599479223652626555996633254905384414223976744642750664697182017030734', 'address': '0x0db3c73e0fd8a19f086cfd303fda498f1b0221e3', 'specUrn': 'ipfs://bafyreiarf2pfqwfbb6gjimlbzd5loxvdygjai5hs3e3hi2aqrd5kiiu3ja/metadata.json', 'image': 'ipfs://bafybeiarvbvjnwfl4vhbx27wq5muk6w5fagdfodtcryumyxqbj6xuxyh5e/image', 'name': 'TE FUNDAMENTALS – MODULE 5 of 5 – VERSION 1 – 2022'}, {'id': 'badges:45346328445634244517877518283528090465183444468871439401376646096215779676144', 'address': '0x0db3c73e0fd8a19f086cfd303fda498f1b0221e3', 'specUrn': 'ipfs://bafyreih6m5sat35yoq3ezk6pppxhpdkm3dafk7dr4nmzptnxoaz4tqkcnu/metadata.json', 'image': 'ipfs://bafybeieiee22ja7zmof7gcfwg3i7dywfkist37bpkpka4ysrzgamhzqmba/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 1 – 2022'}]"
0x0e272eceadbf50541f0a5c740082f177baf214d4,5,"{'address': '0x0e272eceadbf50541f0a5c740082f177baf214d4', 'names': {'ens': ''}}","[{'id': 'badges:103299305998474207230234027879361309067198259222426625535103193544964504465622', 'address': '0x0e272eceadbf50541f0a5c740082f177baf214d4', 'specUrn': 'ipfs://bafyreifdy5xhctluuqkaucb4n223wxa2e7z2gyt642l2ndkjyxdyauebpq/metadata.json', 'image': 'ipfs://bafybeig4ln4ddlk6d4tgn6k734nhmnwc3zxsb37bfejd27m4bp3o4ytmgi/image', 'name': 'TE FUNDAMENTALS – MODULE 4 of 5 – VERSION 1 – 2022 '}, {'id': 'badges:11497620696047162283617864270259101904034068650687914518132746516320636838608', 'address': '0x0e272eceadbf50541f0a5c740082f177baf214d4', 'specUrn': 'ipfs://bafyreiarf2pfqwfbb6gjimlbzd5loxvdygjai5hs3e3hi2aqrd5kiiu3ja/metadata.json', 'image': 'ipfs://bafybeiarvbvjnwfl4vhbx27wq5muk6w5fagdfodtcryumyxqbj6xuxyh5e/image', 'name': 'TE FUNDAMENTALS – MODULE 5 of 5 – VERSION 1 – 2022'}, {'id': 'badges:67610413964673966231872060132992231780517405336627287863837519954992004940817', 'address': '0x0e272eceadbf50541f0a5c740082f177baf214d4', 'specUrn': 'ipfs://bafyreih6m5sat35yoq3ezk6pppxhpdkm3dafk7dr4nmzptnxoaz4tqkcnu/metadata.json', 'image': 'ipfs://bafybeieiee22ja7zmof7gcfwg3i7dywfkist37bpkpka4ysrzgamhzqmba/image', 'name': 'TE FUNDAMENTALS – MODULE 1 of 5 – VERSION 1 – 2022'}]"
