wallet,balance,tea_flag
0x5d3a0084dcb4cbd7abccfd4cff5f3280d253a8a2,1,1
0x17617ef20f525d2e194ea33988c3b497d0f6f4fe,2,1
0xe3a17b05f01c1b28585ba2341ede238641cf32e7,5,1
0x76a74c083b24097e487254e9509a28e71fa3c997,1,1
0x1210ba92eb82cc256213c78f0ef9d5212c7034a9,3,1
0xbbc9368898422cc9ffabef8ea66210d3d011512f,5,1
0xe51200a4d161935fc311ed8a0401feb1abf20e3a,2,1
0xd0ceca3064bd0f33483885f60ef40a71c125c638,3,1
0xb91bd1b99420ffea6d287103fa11e9a969cc88a7,1,1
0x44a60575bafadbf1471d628e7a8bdad64e2e7d5f,3,1
0xfe161714d95ff338482b0200c2857cfa5e77a789,5,1
0x51bef0ecac2dbbbbeff5c39d02e4ac49995185f1,5,1
0x8242269882cd61de8ac878ac47d2a7432fc7bdee,1,1
0x1c651c3fedbf95307fb7a3a2fc07bc1e0753e5a9,5,1
0x1f7972a40f8129a311e6c6a089f87347adc0e244,1,1
0xab0dae31eb6bd328d57c9182dfb3a57b487bcca5,1,1
0xaa3dcae90268e07be651cfd4a2df3fda078571fc,1,1
0x09e083c5653172131e1eef9a92e1eef64d86b154,3,1
0x88bde89f94b5e5dd1ef3c054a39961bcbb33bc44,5,1
0x72f2c4dd290d1c08d5763c812028655cbde3fb53,5,1
0x0b96b6344b2a8d00b610992d0e6afb90c24bcfa3,5,1
0xe8a19b1c12ebcaaec174afec3975e46cafc41075,1,1
0x049debbad61a20e21e872b06ef4f25be1253c802,2,1
0x7ee9033aad1d11a80f1c1e8d769feacbc97416db,5,1
0xc210c735b22ba9ca5254ce0f028a01e335e86e33,3,1
0xb0e7e1d7e3ad1e7c6ce3bad881ed95aea0df7713,1,1
0x7ef7120d7116e77cddbbc70e83db8f1914db5b63,2,1
0x334a7c7413d3f6c42850cc6e12f46fe413911813,2,1
0xba0e393d0d47ae81a22f27d68bac043bb64ddb31,5,1
0xb9ac581718457ec635fdfb502a7c2094cc5066d1,4,1
0x0cd131d695c0dd47648e70ede3bb13bcadea6f40,1,1
0xd5a48e1fb49f5b476ccb2b2bb84298817d4bdb0b,1,1
0xbfe2e3caa45cc9a4cf7e8c9f2ede5688141cb60e,2,1
0xd2bc5cb641ae6f7a880c3dd5aee0450b5210be23,2,1
0x0db3c73e0fd8a19f086cfd303fda498f1b0221e3,5,1
0xdacf1065b12849298dc5b47ece9553094000074f,1,1
0xa775c775feb740d15da78d572a1caccbccc7a0f6,2,1
0xa8a69a507cf45cf07047c4be7731d35dfcc55f63,2,1
0xc92fae7e59fb249902c93e6977123c9465e3d083,1,1
0xc283d85baae932121051d372ec93b377111714a1,1,1
0xa587b5aa3ddf49559cde74140456bf65d716f30a,4,1
0x6d2774e542186a01e89dcc7ce86a74e7dca929f0,1,1
0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,2,1
0xb5852bafe547e3a14e76e2d2ecb134fea8dd60d9,1,1
0x6d465d2081b799770d0ce7e755d8db1665903ffb,1,1
0x36c59fd7b96e19d159b372be897a9951f8e24d6c,1,1
0xc8bf162929af3d8c73d1a8ef58b8a9b084763480,2,1
0x7003849fc9f3c70b5e90619f01522be94a38816f,5,1
0x320d5f7703ac16e79e95d055757b4555a2b7c903,2,1
0x647753a2e5ededd182affde7b11141ee999f9107,2,1
0x3e13da66f07b4b51f6496d4c6a7eeda50416692a,5,1
0x14ebcec65c50dd3f3e37f1a78c88e858b9f2af67,2,1
0x0afbea5597875c33047ab0004575f636e652c49e,2,1
0xe6b6191a7f7033cc41d2df99b628748aed267be5,2,1
0xa4d338186d93a77b5a82ac8253b79050b0058275,2,1
0x8498ff79c6bb9e32ce2fd07b542a84173946e50c,3,1
0x74fb4ba94a01b31424b5e1ab0d3ceff0ce6e6530,5,1
0xb592157cbca197999c71a8f286a8e2df37a829c0,1,1
0x7d1f3ed0d2e42809779255846cf0a1b1eb8a21d2,3,1
0x148d424f74c323d3950a8562760aa76e4c58615b,5,1
0xb2523a5a54813ff3acfef0b00f442a4ebba06ace,5,1
0x6543c99d0e073c140fd08a741c6cfdcd1449da94,1,1
0x64126292849b237fc3e18a81d23a3d0e4fa9e076,4,1
0x1378b43fd789b6b243f2b81168ad05131791462e,2,1
