rank_number,address,balance,perc,cumulative_perc
49,0xc6b0a4c5ba85d082ecd4fb05fbf63eb92ac1083a,6934.967373145798,0.004154972537125,0.7718820974665443
50,0x99272db5353e13c18b711d99d3a8f36ba459f747,6560.161506544184,0.0039304137182164,0.7758125111847608
51,0xdf00e071996de3336899bbd5722592b3d972e788,6548.36727393465,0.0039233473962062,0.7797358585809671
52,0xfda4271cdfe69f8f8df7f39b2248e775166ff632,6365.009999999999,0.0038134918775442,0.7835493504585114
53,0xd91ec22114897e5e68997f77a6182de3cb09ba9b,6301.451629091784,0.0037754119167573,0.7873247623752687
54,0x1df428833f2c9fb1ef098754e5d710432450d706,6209.424833983653,0.0037202755641575,0.7910450379394263
55,0xf5dcd98a1c99c2c65c62025cb23cfb6f12f35497,6202.855302892844,0.0037163395368058,0.7947613774762321
56,0x0d1331af19df0110826aaec6f6ef7debf85bf107,6120.871031008744,0.0036672199981222,0.7984285974743544
57,0x8aac40061e258d6e45fd13e214710abdf356285a,5887.207529958248,0.0035272243243786,0.801955821798733
58,0x3c63b262c54f45ba1ca8e127f14a2b93fdc826ca,5885.484458838296,0.0035261919744341,0.8054820137731672
59,0xec952ed8e7c2aa466cac36fd611d2e87df1243d7,5642.68028704082,0.0033807198169695,0.8088627335901367
60,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,5500.0,0.0032952352512397,0.8121579688413765
61,0x34aa3f359a9d614239015126635ce7732c18fdf3,5449.999999999999,0.0032652785671375,0.815423247408514
62,0xb2d60143097b4f992bfbe955a22dbb2acd9a8eab,5283.368339220287,0.0031654439266695,0.8185886913351836
63,0x2fee53687906ba239602ed42cceee2ac8a4ada36,5181.885898355907,0.0031046423782117,0.8216933337133954
64,0x1d8a08c8c3ce0a852cb4da902754991759f7f625,5118.60331675711,0.0030667276520892,0.8247600613654846
65,0x1026effae689c49f3655e74dc45c8869e3f6fd35,5000.0,0.0029956684102179,0.8277557297757026
65,0x7f93e58a999d85879c2f051619f6879ba771f2bf,5000.0,0.0029956684102179,0.8307513981859205
67,0x1baec9d58603f6eaeddbd66acc56db76215fc8d6,4999.0,0.0029950692765359,0.8337464674624564
68,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,4879.869356602975,0.0029236940955132,0.8366701615579696
69,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,4549.980076928803,0.0027260463167153,0.8393962078746849
70,0x2723875bff110974e712019e4ab631dcac97910d,4542.126008985068,0.0027213406800691,0.8421175485547542
71,0xb20a327c9b4da091f454b1ce0e2e4dc5c128b5b4,4469.058061477894,0.0026775632116398,0.844795111766394
72,0x224aba5d489675a7bd3ce07786fada466b46fa0f,4311.05336733558,0.0025828972774581,0.8473780090438522
73,0x536c7e8f18d09d04697e0d2624b44bba575388c2,4215.253070060066,0.0025255000926106,0.8499035091364628
74,0xc89ed88b54fd663b86ffd76f6ad2cda09d2ce13c,4100.320954081929,0.0024566403907795,0.8523601495272425
75,0xfcbc07905fee2d64025461b8ddb27f77f256827f,3820.2044786045312,0.0022888131754257,0.8546489627026682
76,0xa0f780d46f103db59cfc5ffec8b25ffd36940ea7,3750.869323683277,0.0022472721487627,0.856896234851431
77,0x9ac9c636404c8d46d9eb966d7179983ba5a3941a,3677.851857219388,0.0022035249252267,0.8590997597766576
78,0xdf8f53b9f83e611e1154402992c6f6cb7daf246c,3649.67257105386,0.002186641765749,0.8612864015424067
79,0x29567bdbcc92acf37ac6b56b69180857bb69f7d1,3625.843987,0.0021723652584469,0.8634587668008535
80,0x57f540a736a647ef2d2ef9cd823c4a4e655858a4,3602.050105524104,0.0021581095426281,0.8656168763434817
81,0x8041748a2a16e9b7a3980107f4376774421642c8,3554.378126942582,0.0021295476545703,0.867746423998052
82,0x8f942eced007bd3976927b7958b50df126feecb5,3500.0,0.0020969678871525,0.8698433918852045
83,0xd6f5646d9e7fbee7cc907eb8e12dafa5378431e6,3463.693031362682,0.002075215159349,0.8719186070445536
84,0xd3f8a83dd0f5c873be0973dbd67bf0d441ae49d0,3401.4406418539206,0.0020379176560066,0.8739565247005603
85,0xefb49ddb9511180aeefd78da68ea4977fe02b0cb,3383.345081694733,0.0020270759964198,0.8759836006969801
86,0x701d0ecb3ba780de7b2b36789aec4493a426010a,3361.815916000085,0.0020141771481058,0.877997777845086
87,0xad2dcb058f10b4e11611f9c1fc0aa1a532e270d6,3341.416707782569,0.0020019552953757,0.8799997331404618
88,0xf35960302a07022aba880dffaec2fdd64d5bf1c1,3300.0,0.0019771411507438,0.8819768742912056
89,0xf503017d7baf7fbc0fff7492b751025c6a78179b,3165.681555832828,0.0018966664467236,0.8838735407379292
90,0xcaaa39294a02bf3bf6a806d11d687e244ce56378,3114.803139840067,0.0018661834740133,0.8857397242119426
91,0x5041a1c1dcc760337e99b03db60feaf5f6f6c802,3090.969682,0.0018519040466617,0.8875916282586044
92,0x16e8d400ed871fb5e74a2db3c680838c9d383a26,3076.63,0.0018433126601857,0.8894349409187902
93,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,3000.0,0.0017974010461307,0.891232341964921
93,0x92b0fd2bd1991b2bdbb1306a719bd45dbfa46768,3000.0,0.0017974010461307,0.8930297430110518
95,0xcb5fba4419abc4d7c11af0c24ba0f2e555407f5b,2925.6689682624697,0.0017528668213957,0.8947826098324475
96,0xf83775c95a00612d4cac5053dd484ffa81bae0ad,2913.0717829595383,0.0017453194233818,0.8965279292558294
97,0x72e1638bd8cd371bfb04cf665b749a0e4ae38324,2910.0,0.0017434790147468,0.8982714082705762
98,0xd602d991dc99f6632c9f1e587d93c3c8ce7220b6,2863.694092152441,0.0017157355856777,0.8999871438562539
99,0xf23ea0b5f14afcbe532a1df273f7b233ebe41c78,2824.173008629976,0.0016920571733886,0.9016792010296424
100,0x59ae7f21d18b2f5fdc7a99c4fd6dd9e67cec0bc9,2779.853163587538,0.0016655036614407,0.9033447046910832
101,0x9384eb57f892cce158c9ad5446d815cc7584d42b,2772.5074739881006,0.0016611026113838,0.905005807302467
102,0x2fe25372a45d024ade1adeb9dce29e4da1368b35,2675.7523471439736,0.0016031333559811,0.9066089406584482
103,0x00432996c5cf8200cf208200613aec2329be0e39,2650.0,0.0015877042574155,0.9081966449158636
104,0x072e83cde5c102fdcf32be328034e1bb2dadcb01,2646.4184340688325,0.0015855584206316,0.9097822033364954
105,0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,2627.995787229822,0.001574520792398,0.9113567241288936
106,0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,2606.577065797222,0.0015616881149614,0.912918412243855
107,0xed77a2406bb16f56a5dc5cc6d893f6500585a115,2544.2551970195777,0.0015243489842488,0.914442761228104
108,0xe73a198e7c07c418d7dcfd42f5e953074abbd125,2513.7335549048844,0.0015060624404266,0.9159488236685306
109,0xf592ee0e3a20ddd65882e0fe6bfbb4b465a98ae4,2274.457354298718,0.0013627040093321,0.9173115276778628
110,0xa444987a5d2c45150399c5cec0c8bf719a6dea3e,2214.2032801724968,0.0013266037640427,0.9186381314419054
111,0x2ce202ad36adb3b7515d2e6ec1395f55298dc230,2087.2135492329767,0.0012505199389632,0.9198886513808686
112,0xa81fa36c51c95b52431038352d3d452c5de5e6e8,2086.2550020377957,0.0012499456410527,0.9211385970219214
113,0x2920620b47d51170319a531a2d6d5810610e8c2a,2028.2099784835416,0.0012151689123663,0.9223537659342878
114,0xcbc473f08a515cd8e612f63a254278879f1ed315,2000.0,0.0011982673640871,0.923552033298375
115,0x05d9eea07cf58f6ed205e4b5ca59a1c98114c459,1998.4982290809849,0.0011973676025468,0.9247494009009218
116,0xdee4fbf0b62febe20000826eaeb939e2cc7876b4,1981.7014982799296,0.0011873041153757,0.9259367050162975
117,0xb1a549920b38b2f7c80443b49b5a75db3a4cd5f5,1884.8527059927087,0.0011292787418512,0.9270659837581487
118,0x77d40c87d423efb7ec576e80998a48377adf86df,1856.039218513929,0.0011120156110055,0.9281779993691543
119,0x864f2c20f55d7b6e80e65332c372c855a67be451,1844.571797691994,0.0011051450929449,0.9292831444620994
120,0x7e75c3fbe3aa9007d9e93eb948e02329b8b35dfe,1800.0,0.0010784406276784,0.9303615850897778
121,0xbbd107d7717f9d8556aa0abd444bc8ae6e288956,1789.9533800000002,0.0010724213592457,0.9314340064490236
122,0xae9a1bbd8a53e6bd845d1b493cd174e6b0531eb8,1778.925120508348,0.00106581395753,0.9324998204065535
123,0xdc0046b52e2e38aee2271b6171ebb65ccd337518,1777.34,0.0010648642584433,0.933564684664997
124,0x703fbd74399f71103604e3c7ea9f54cbb43f718a,1755.8675019999998,0.0010519993616539,0.9346166840266508
125,0xb3e43abf014cb2d8cf8dc3d8c2e62157e6093343,1754.1609290928434,0.0010509768963444,0.9356676609229952
126,0x39c00e3584a2176f55bb31bdc3450889927f5016,1636.4159016676597,0.0009804318845208,0.936648092807516
127,0xa70c50a58473b12e8da58f1471d48c1ad8b3415a,1633.6198279860057,0.0009787566626006,0.9376268494701168
128,0x5ad3b55625553cef54d7561cd256658537d54aad,1575.0,0.0009436355492186,0.9385704850193354
129,0x0f46540678c7e6d2ef983b382cc07fa815ab148c,1526.260043239338,0.0009144337994619,0.9394849188187974
130,0x874b3e815b02d3dcd5008fdee96127c16292ba1f,1476.2308159373151,0.0008844596042987,0.940369378423096
131,0x02317bb3f16ce21e9239c217b21bd18aa24ab0d3,1475.5642328532947,0.0008840602319212,0.9412534386550172
132,0xc7bf5da444c923aaa80d77d288e86f3246dd4170,1473.2131689142125,0.0008826516303266,0.942136090285344
133,0x3b0459c53fd6fc216fea8817512990c886310386,1410.1543793854075,0.000844870985571,0.942980961270915
134,0x18190831552ec91237d68ff94fe9124ccbac4163,1405.0,0.0008417828232712,0.9438227440941864
135,0xeee2e0166e342e0b56fe9d5b76ce2c8eadd935b4,1381.2799711719042,0.0008275713550612,0.9446503154492476
136,0xac446dd360716acef4e930612dcb1f652a98d750,1374.6777969023258,0.0008236157700816,0.9454739312193292
137,0x6d3b98452c8f2dffa0487ce6c66ca3cc3ab01308,1294.9612395874444,0.0007758548955777,0.946249786114907
