address,flag
0x38dfd788db4cfab7b9da57b06cfc06c6e0f33c3b,1
0x5b7575494b1e28974efe6ea71ec569b34958f72e,1
0xdf290293c4a4d6ebe38fd7085d7721041f927e0a,1
0x45602bfba960277bf917c1b2007d1f03d7bd29e4,1
0xf41deff41016216346270e302dc0a5dd4913dada,1
0xaa01dec5307cf17f20881a3286dcaa062578cea7,1
0x5acbeb30fde4049a8fc928f562d9ce5fdad59d32,1
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,1
0x7221b104fba7701084759fd25faca19ac6300855,1
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,1
0x71641d6656ffb673f471ea292ea09ac528cc4df2,1
0x98f6a05f0cf0a07c9cb988ee152f346b34d6b8da,1
0xcb59b745668aa7f6d6da1c92641d6d60d8f5c4be,1
0x778549eb292ac98a96a05e122967f22efa003707,1
0xc131afe6dbd5a71f16d8b292f0b4ae1aa200da3f,1
0x40dc654af5ce40c122ffdc679fa8e8ca8b91556a,1
0x8289432acd5eb0214b1c2526a5edb480aa06a9ab,1
0x955327d8f7589725fdc23af8cd27bff7f6f3ed0b,1
0xe5ac570506ff6289146cc43626d6af540aa67241,1
0xcf52f1402e73418bc5e6accbd246ee8dfb055605,1
0x852b8763ecb27beddc190d1792029bc17fd5439a,1
0xb2821c0df0c414ff51d3e8033cba26df6aac587b,1
0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,1
0x7d547666209755fb833f9b37eebea38ebf513abb,1
0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,1
0x8a8fd287f9c0d69c8d749b32e10a1e0a96dedcf3,1
0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,1
0x763d7d362b59aea3858a92a302e18cd41b1252d4,1
0x7944fc7bd79b25e6ffe24921d88a1f36f22be843,1
0x27c72e4bd23c910218d8f06c4a1742e06657c874,1
0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c,1
0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1
0xb760fe1bbc4a2752abcbb28291a57cb0ca99ff44,1
0x9aa6db877742ad8d8c7fe209f561fbd2be19d5f4,1
0x0faad92032b0984642a29bc9dcafc35d70474bc7,1
0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,1
0xf0cdfa126a944849a6e9982253cd5259afae0355,1
0x1dba1131000664b884a1ba238464159892252d3a,1
0xcf0fa79c915f12592c352ffe35000fda5c96a158,1
0xc8d65e1bd67f16522e3117b980e1c9d2caeb9dc3,1
0x94860ea6872d863e91f3ce3f8cf574ef0859620b,1
0x8110d1d04ac316fdcace8f24fd60c86b810ab15a,1
0x75d923fbbc9d224ad4a92c370dcc60043010648f,1
0x62e4851e88bec4f5c5ee3dd347f2c601a18af1af,1
0x978aad63fe35f7a72573c411c3dff53608aaeac9,1
0xf0a3b6daac28a0fce094f2cf264e040373d86f3f,1
0xaee23b2c38732a191aa5ce33d2db5efcf51868ae,1
0x85ed40dbca94b5bc73c6c7ec7f4ecaad04a03a22,1
0xc6b0a4c5ba85d082ecd4fb05fbf63eb92ac1083a,1
0x99272db5353e13c18b711d99d3a8f36ba459f747,1
0xdf00e071996de3336899bbd5722592b3d972e788,1
0xfda4271cdfe69f8f8df7f39b2248e775166ff632,1
0xd91ec22114897e5e68997f77a6182de3cb09ba9b,1
0x1df428833f2c9fb1ef098754e5d710432450d706,1
0xf5dcd98a1c99c2c65c62025cb23cfb6f12f35497,1
