address,balance,tec_tokens_flag
0x38dfd788db4cfab7b9da57b06cfc06c6e0f33c3b,150071.71779129116,1
0x5b7575494b1e28974efe6ea71ec569b34958f72e,106053.2719061831,1
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,73838.66148707856,1
0xdf290293c4a4d6ebe38fd7085d7721041f927e0a,69337.51323315763,1
0x45602bfba960277bf917c1b2007d1f03d7bd29e4,59165.981018494545,1
0xaa01dec5307cf17f20881a3286dcaa062578cea7,54740.98440282459,1
0x5acbeb30fde4049a8fc928f562d9ce5fdad59d32,52247.66552079205,1
0x7221b104fba7701084759fd25faca19ac6300855,51337,1
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,40081,1
0x71641d6656ffb673f471ea292ea09ac528cc4df2,37136.50209710382,1
0xcb59b745668aa7f6d6da1c92641d6d60d8f5c4be,28041.462049998427,1
0x778549eb292ac98a96a05e122967f22efa003707,26096.51706728046,1
0xc131afe6dbd5a71f16d8b292f0b4ae1aa200da3f,25752.052410310433,1
0x536c7e8f18d09d04697e0d2624b44bba575388c2,24765.25307006007,1
0x40dc654af5ce40c122ffdc679fa8e8ca8b91556a,24500,1
0x8289432acd5eb0214b1c2526a5edb480aa06a9ab,24418.77248053943,1
0x955327d8f7589725fdc23af8cd27bff7f6f3ed0b,24143.767,1
0xe5ac570506ff6289146cc43626d6af540aa67241,23368.86429378815,1
0xcf52f1402e73418bc5e6accbd246ee8dfb055605,23024.831808530944,1
0x852b8763ecb27beddc190d1792029bc17fd5439a,20779.286972497586,1
0x7d990c17573b9fe410767723080fcb1734ff7d5b,19300,1
0xb2821c0df0c414ff51d3e8033cba26df6aac587b,18736.448222164017,1
0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,18635.449574644495,1
0x7d547666209755fb833f9b37eebea38ebf513abb,18134.425365422438,1
0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,15565.761361488372,1
0x8a8fd287f9c0d69c8d749b32e10a1e0a96dedcf3,15080.92246111307,1
0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,14385.066301293544,1
0x5b0f8d8f47e3fdf7ee1c337abca19dbba98524e6,13313.662077296221,1
0x7944fc7bd79b25e6ffe24921d88a1f36f22be843,12723.238120499807,1
0x625236038836cecc532664915bd0399647e7826b,12290.815853712402,1
0x27c72e4bd23c910218d8f06c4a1742e06657c874,12018.302760630579,1
0xf5dcd98a1c99c2c65c62025cb23cfb6f12f35497,11569.330302892855,1
0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c,11405.864659628467,1
0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,11250,1
0x072e83cde5c102fdcf32be328034e1bb2dadcb01,10696.418434068832,1
0xb760fe1bbc4a2752abcbb28291a57cb0ca99ff44,10563.361346989184,1
0x9aa6db877742ad8d8c7fe209f561fbd2be19d5f4,10556.31340241248,1
0x0faad92032b0984642a29bc9dcafc35d70474bc7,10462.795797870484,1
0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,10069,1
0xf0cdfa126a944849a6e9982253cd5259afae0355,10000,1
0x1dba1131000664b884a1ba238464159892252d3a,10000,1
0xcf0fa79c915f12592c352ffe35000fda5c96a158,9170.30976850929,1
0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,8627.995787229822,1
0x94860ea6872d863e91f3ce3f8cf574ef0859620b,8245.08131688724,1
0x62e4851e88bec4f5c5ee3dd347f2c601a18af1af,7750.97649527569,1
0x978aad63fe35f7a72573c411c3dff53608aaeac9,7719.076660376419,1
0xf0a3b6daac28a0fce094f2cf264e040373d86f3f,7704.09448926055,1
0xaee23b2c38732a191aa5ce33d2db5efcf51868ae,7521.403826732297,1
0x85ed40dbca94b5bc73c6c7ec7f4ecaad04a03a22,7079.586749257821,1
0x1df428833f2c9fb1ef098754e5d710432450d706,6952.673426912334,1
0xc6b0a4c5ba85d082ecd4fb05fbf63eb92ac1083a,6934.967373145798,1
