id,projectId,applicationId,voter,grantAddress,amount,amountUSD,coefficient,rawScore,balance_tec,tec_tokens_flag,balance_tea,tea_flag
0xb2d5d81a,0xa9bdf738,29,0x33878e07,0x5041A1C1,2200000000000000.0,4.29503514,1.5,43.05,120.8544589760862,1.0,0.0,0.0
0xf792b232,0x8d6f0c7b,3,0x33878e07,0x808DB7C1,2200000000000000.0,4.29503514,1.5,43.05,120.8544589760862,1.0,0.0,0.0
0x58adcfbb,0x4cd41869,25,0xf1fd2aa4,0xBEC643BD,5320000000000000.0,9.85910637,1.0,15.64,0.0,0.0,0.0,0.0
0xac7251c3,0x4cd41869,25,0x8f4ad500,0xBEC643BD,1.2e+16,22.37211263,1.0,25.54,0.0,0.0,0.0,0.0
0x0ec7ff39,0xe6424ab2,22,0x8f4ad500,0x8110d1D0,1000000000000000.0,1.86434271,1.0,25.54,0.0,0.0,0.0,0.0
0xc04bccfa,0xa9bdf738,29,0x1626255e,0x5041A1C1,7000000000000000.0,13.18763285,1.0,17.52,0.0,0.0,0.0,0.0
0xb0f77055,0x97589cd1,7,0xf632ce27,0x0035cC37,1e+16,19.12383742,1.0,39.39,0.0,0.0,0.0,0.0
0xbd530705,0xe6424ab2,22,0xf632ce27,0x8110d1D0,5000000000000000.0,9.56191871,1.0,39.39,0.0,0.0,0.0,0.0
0x7f27fb26,0xa9bdf738,29,0xf632ce27,0x5041A1C1,5000000000000000.0,9.56191871,1.0,39.39,0.0,0.0,0.0,0.0
0x89e8a546,0x10b3f00e,28,0x01d3a04a,0x69e001B7,5000000000000000.0,9.56404907,1.0,22.43,0.0,0.0,0.0,0.0
0x55fed50c,0x5351510d,2,0x7ab13936,0x9bcF35BD,1700000000000000.0,3.25177668,1.0,22.97,0.0,0.0,0.0,0.0
0xe8d6d0b1,0x23387567,9,0x7ab13936,0xbbD107D7,1700000000000000.0,3.25177668,1.0,22.97,0.0,0.0,0.0,0.0
0x1646a78b,0x97589cd1,7,0x7ab13936,0x0035cC37,1700000000000000.0,3.25177668,1.0,22.97,0.0,0.0,0.0,0.0
0xcb9e856f,0x97589cd1,7,0x8b5d7121,0x0035cC37,1500000000000000.0,2.86921472,1.0,24.32,0.0,0.0,0.0,0.0
0x7e599ae2,0xa9bdf738,29,0x8b5d7121,0x5041A1C1,1500000000000000.0,2.86921472,1.0,24.32,0.0,0.0,0.0,0.0
0x98be0cb1,0x10b3f00e,28,0x8b5d7121,0x69e001B7,1500000000000000.0,2.86921472,1.0,24.32,0.0,0.0,0.0,0.0
0x61b5745a,0xdd9b885d,13,0x8b5d7121,0x75D923fB,1500000000000000.0,2.86921472,1.0,24.32,0.0,0.0,0.0,0.0
0xb4c5bb96,0x4cd41869,25,0xb9d795b5,0xBEC643BD,1000000000000000.0,1.90690299,1.0,18.14,0.0,0.0,0.0,0.0
0x9495ce94,0x4cd41869,25,0x8bf1c501,0xBEC643BD,1000000000000000.0,1.90690299,1.0,15.32,0.0,0.0,0.0,0.0
0xa38cf7b0,0x4cd41869,25,0xd1ddd31c,0xBEC643BD,2500000000000000.0,4.76725749,1.0,15.22,0.0,0.0,0.0,0.0
0xd347c2fb,0xf1f4942d,24,0x84ad6912,0x4f8c531d,2000000000000000.0,3.80607954,1.0,24.32,0.0,0.0,0.0,0.0
0xa5a7e9f8,0xe8249a10,14,0x84ad6912,0x9b55D80A,2000000000000000.0,3.80607954,1.0,24.32,0.0,0.0,0.0,0.0
0xcf902f0c,0xa9bdf738,29,0x84ad6912,0x5041A1C1,2000000000000000.0,3.80607954,1.0,24.32,0.0,0.0,0.0,0.0
0x4cf02d6d,0xf1f4942d,24,0x84ad6912,0x4f8c531d,2000000000000000.0,3.80607954,1.0,24.32,0.0,0.0,0.0,0.0
0xfa44e4b3,0xe8249a10,14,0x84ad6912,0x9b55D80A,2000000000000000.0,3.80607954,1.0,24.32,0.0,0.0,0.0,0.0
0x25b6210d,0xa9bdf738,29,0x84ad6912,0x5041A1C1,2000000000000000.0,3.80607954,1.0,24.32,0.0,0.0,0.0,0.0
0x43ee9adf,0x8d6f0c7b,3,0xda13146a,0x808DB7C1,2100000000000000.0,3.99638352,1.0,22.54,0.0,0.0,0.0,0.0
0xee0bcc6e,0xa9bdf738,29,0xda13146a,0x5041A1C1,2100000000000000.0,3.99638352,1.0,22.54,0.0,0.0,0.0,0.0
0xaa28310c,0x97589cd1,7,0xda13146a,0x0035cC37,2100000000000000.0,3.99638352,1.0,22.54,0.0,0.0,0.0,0.0
0x13164c0b,0xe6424ab2,22,0xef22a550,0x8110d1D0,5000000000000000.0,9.45525399,1.0,16.16,0.0,0.0,0.0,0.0
0xb71438cb,0xec026845,16,0xef22a550,0x45b79C6b,5000000000000000.0,9.45525399,1.0,16.16,0.0,0.0,0.0,0.0
0x8cfced82,0x5351510d,2,0xef22a550,0x9bcF35BD,5000000000000000.0,9.45525399,1.0,16.16,0.0,0.0,0.0,0.0
0x140f920d,0xe6424ab2,22,0xde2be7c9,0x8110d1D0,1e+16,18.92474287,1.5,15.43,50.48043725292471,1.0,0.0,0.0
0x02f23ce6,0x8d6f0c7b,3,0xde2be7c9,0x808DB7C1,1e+16,18.92474287,1.5,15.43,50.48043725292471,1.0,0.0,0.0
0x6587a844,0x72b0d6a6,17,0xde2be7c9,0x7e1F8358,1e+16,18.92474287,1.5,15.43,50.48043725292471,1.0,0.0,0.0
0x8c75f2be,0xf1f4942d,24,0xde2be7c9,0x4f8c531d,1e+16,18.92474287,1.5,15.43,50.48043725292471,1.0,0.0,0.0
0xd0c532c8,0xec026845,16,0x7ee9033a,0x45b79C6b,2e+16,38.11634967,1.5,15.74,0.0,0.0,5.0,1.0
0x1d684040,0x4cd41869,25,0xc9b390c1,0xBEC643BD,1000000000000000.0,1.9047135,1.0,16.16,0.0,0.0,0.0,0.0
0x74c047af,0x23387567,9,0xb08f0ca7,0xbbD107D7,2e+17,379.20369,1.5,36.72,4483.885742428803,1.0,0.0,0.0
0xe3967215,0x64a30a4b,19,0xb08f0ca7,0xA26d6AEB,1e+17,189.601845,1.5,36.72,4483.885742428803,1.0,0.0,0.0
0xcd61ec0c,0xe6424ab2,22,0xb08f0ca7,0x8110d1D0,1e+17,189.601845,1.5,36.72,4483.885742428803,1.0,0.0,0.0
0xd8bd2eeb,0x8d6f0c7b,3,0xb08f0ca7,0x808DB7C1,2500000000000000.0,4.74004612,1.5,36.72,4483.885742428803,1.0,0.0,0.0
